  Step,        Time_s,   Time_days,          dt_s, Newton,      Res_norm,    Sw_min,    Sw_max,   P_min_bar,   P_max_bar
     1,       10.0000,    0.000116,       10.0000,      3,  3.939439e-05,  0.200000,  0.200034,     90.0000,    100.0037
     2,       28.0000,    0.000324,       18.0000,      3,  1.754597e-05,  0.200000,  0.200095,     90.0000,    100.0091
     3,       60.4000,    0.000699,       32.4000,      3,  1.019601e-06,  0.200000,  0.200204,     90.0000,    100.0162
     4,      118.7200,    0.001374,       58.3200,      3,  5.604427e-06,  0.200000,  0.200401,     90.0000,    100.0248
     5,      223.6960,    0.002589,      104.9760,      3,  2.744481e-07,  0.200000,  0.200756,     90.0000,    100.0343
     6,      412.6528,    0.004776,      188.9568,      3,  1.687108e-06,  0.200000,  0.201395,     90.0000,    100.0442
     7,      752.7750,    0.008713,      340.1222,      3,  1.047030e-07,  0.200000,  0.202545,     90.0000,    100.0542
     8,     1364.9951,    0.015799,      612.2200,      4,  2.749183e-06,  0.200000,  0.204247,     90.0000,    100.0534
     9,     2191.4921,    0.025364,      826.4970,      3,  3.040387e-06,  0.200000,  0.206775,     90.0000,    100.0456
    10,     3679.1868,    0.042583,     1487.6947,      3,  3.029565e-07,  0.200000,  0.211518,     90.0000,     99.9656
    11,     6357.0372,    0.073577,     2677.8504,      3,  8.388938e-07,  0.200000,  0.219762,     90.0000,     99.6635
    12,    11177.1680,    0.129365,     4820.1308,      3,  2.153617e-05,  0.200000,  0.232433,     90.0000,     98.9434
    13,    19853.4033,    0.229785,     8676.2354,      5,  7.805949e-06,  0.200000,  0.253928,     90.0000,     97.6802
    14,    31566.3211,    0.365351,    11712.9177,      3,  2.366010e-05,  0.200000,  0.282215,     90.0000,     96.2614
    15,    52649.5730,    0.609370,    21083.2519,      4,  2.212697e-05,  0.200000,  0.329226,     90.0000,     94.4653
    16,    81111.9631,    0.938796,    28462.3901,      4,  1.914760e-06,  0.200000,  0.388597,     90.0000,     92.9293
    17,   119536.1897,    1.383521,    38424.2266,      3,  1.293764e-05,  0.200000,  0.462984,     90.0000,     91.7663
    18,   188699.7977,    2.184025,    69163.6079,      4,  5.441129e-05,  0.200000,  0.582217,     90.0000,     90.9295
    19,   282070.6684,    3.264707,    93370.8707,      5,  1.075266e-06,  0.200000,  0.702390,     90.0000,     90.7912
    20,   408121.3439,    4.723627,   126050.6755,      6,  2.800175e-06,  0.200000,  0.762006,     90.0000,     91.1701
    21,   432000.0000,    5.000000,    23878.6561,      3,  3.821632e-07,  0.200000,  0.769702,     90.0000,     91.2207
